Studio,Time,Classes,Instructor,Sign up,Date,Style
Steps,16:45:00,Adv/Int Theater Jazz,Griffin,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087000&classDate=8/24/2023&clsLoc=1,2023-08-24,Theater
Steps,17:00:00,Adv/Int Ballet,"Edge, A. (4)",https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087005&classDate=8/24/2023&clsLoc=1,2023-08-24,Ballet
Steps,17:15:00,Int Tap,Almaguer (9),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085586&classDate=8/24/2023&clsLoc=1,2023-08-24,Tap
Peridance,17:30:00,Adv Contemp,Mathew James,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=5426&classDate=8/24/2023&clsLoc=1,2023-08-24,Contemporary/Modern
BDC,17:30:00,Adv Beg Tap,Katharine Pettit (12),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17576&classDate=8/24/2023&clsLoc=1,2023-08-24,Tap
Peridance,17:30:00,Int Ballet,Greg Zane,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=5520&classDate=8/24/2023&clsLoc=1,2023-08-24,Ballet
Ballet Arts,17:30:00,Theater Dance Repertory !,Stephen Reed,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=2271&classDate=8/24/2023&clsLoc=1,2023-08-24,Theater
BDC,17:45:00,Beg House,Huu Rock,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17652&classDate=8/24/2023&clsLoc=1,2023-08-24,Street/Choreography
BDC,17:45:00,Int Adv Hip-Hop,Deshawn Da Prince,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17679&classDate=8/24/2023&clsLoc=1,2023-08-24,Street/Choreography
BDC,17:45:00,Basic Ballet,Erica Ratkovicz,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17703&classDate=8/24/2023&clsLoc=1,2023-08-24,Ballet
BDC,18:00:00,Int Adv Contemp,Steven Blandino,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18209&classDate=8/24/2023&clsLoc=1,2023-08-24,Contemporary/Modern
Gibney 280,18:00:00,Modernish Technique,Bradley Beakes,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12831&classDate=8/24/2023&clsLoc=1,2023-08-24,Contemporary/Modern
BAE,18:00:00,Beg Ballet,Lorna Zawacki,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7855&classDate=8/24/2023&clsLoc=1,2023-08-24,Ballet
