0,Start time,Sign up,Classes,Teacher,Studio,Duration
13,   3:00 pm  EDT,/ASP/res_a.asp?tg=22&classId=16862&classDate=3/13/2023&clsLoc=1,IN-PERSON: Adv Beg CONTEMPORARY with Jaclyn Walsh,Jaclyn Walsh,Studio 3, 1 hour & 30 minutes
14,   3:00 pm  EDT,/ASP/res_a.asp?tg=22&classId=17292&classDate=3/13/2023&clsLoc=1,IN-PERSON: All Levels YOGA AND MEDITATION with Lauren Marsaglia,Lauren Marsaglia,Studio 2, 1 hour & 30 minutes
15,   4:30 pm  EDT,/ASP/res_a.asp?tg=22&classId=17088&classDate=3/13/2023&clsLoc=1,IN-PERSON: Int CONTEMPORARY JAZZ with Julia Kane,Julia Kane,Studio A, 1 hour & 30 minutes
16,   4:30 pm  EDT,/ASP/res_a.asp?tg=48&classId=17084&classDate=3/13/2023&clsLoc=1,LIVESTREAM: Beg BALLET with Dorit Koppel,Dorit Koppel,LS ST-1, 1 hour & 30 minutes
17,   4:45 pm  EDT,/ASP/res_a.asp?tg=22&classId=17285&classDate=3/13/2023&clsLoc=1,IN-PERSON: Int THEATER with Michael Callahan,Michael Callahan,Studio 5, 1 hour & 30 minutes
18,   6:15 pm  EDT,/ASP/res_a.asp?tg=22&classId=15835&classDate=3/13/2023&clsLoc=1,IN-PERSON: Adv Beg PRECISION TAP with Sarah Hoge,Sarah Hoge (9),Studio B, 1 hour & 30 minutes
19,   6:15 pm  EDT,/ASP/res_a.asp?tg=22&classId=17093&classDate=3/13/2023&clsLoc=1,IN-PERSON: Basic CONTEMPORARY JAZZ with Stacie Webster,Stacie Webster,Studio 1, 1 hour & 30 minutes
20,   6:30 pm  EDT,/ASP/res_a.asp?tg=22&classId=16121&classDate=3/13/2023&clsLoc=1,IN-PERSON: All Levels POPPING with Sun Kim,Sun Kim,Studio 2, 1 hour & 30 minutes
21,   8:00 pm  EDT,/ASP/res_a.asp?tg=35&classId=17323&classDate=3/13/2023&clsLoc=1,IN-PERSON: Adv CONTEMPORARY with Teddy Forance,Teddy Forance,Studio 1, 1 hour & 30 minutes
22,   8:00 pm  EDT,/ASP/res_a.asp?tg=22&classId=17358&classDate=3/13/2023&clsLoc=1,IN-PERSON: All Levels CANDLELIT YOGA FOR DANCERS with Lauren Cannon,Lauren Cannon,Studio 4, 1 hour & 30 minutes
23,   8:00 pm  EDT,/ASP/res_a.asp?tg=22&classId=17133&classDate=3/13/2023&clsLoc=1,IN-PERSON: Beg STREET STYLES with J Lyn Thomas,JLyn Thomas,Studio 2, 1 hour & 30 minutes
24,   9:30 am  EDT,/ASP/res_a.asp?tg=22&classId=16844&classDate=3/13/2023&clsLoc=1,IN-PERSON: Beg BALLET with Michele Moreno,Michele Moreno,Studio 1, 1 hour & 30 minutes
25,   11:15 am  EDT,/ASP/res_a.asp?tg=22&classId=16847&classDate=3/13/2023&clsLoc=1,IN-PERSON: Adv Beg BALLET with Natalya Stavro,Natalya Stavro,Studio 1, 1 hour & 30 minutes
26,   11:15 am  EDT,/ASP/res_a.asp?tg=48&classId=16848&classDate=3/13/2023&clsLoc=1,LIVESTREAM: Adv Beg BALLET with Natalya Stavro,Natalya Stavro,LS ST-1, 1 hour & 30 minutes
27,   11:30 am  EDT,/ASP/res_a.asp?tg=22&classId=16849&classDate=3/13/2023&clsLoc=1,IN-PERSON: Adv Beg CONTEMPORARY LYRICAL with Tracie Stanfield,Tracie Stanfield,Studio 3, 1 hour & 30 minutes
28,   11:30 am  EDT,/ASP/res_a.asp?tg=22&classId=16157&classDate=3/13/2023&clsLoc=1,IN-PERSON: All Levels PILATES with Linda Farrell,Linda Farrell,Studio 2, 1 hour & 15 minutes
29,   11:30 am  EDT,/ASP/res_a.asp?tg=48&classId=16851&classDate=3/13/2023&clsLoc=1,LIVESTREAM: All Levels PILATES with Linda Farrell,Linda Farrell,LS ST-2, 1 hour & 15 minutes
30,   1:00 pm  EDT,/ASP/res_a.asp?tg=22&classId=16857&classDate=3/13/2023&clsLoc=1,IN-PERSON: Beg BALLET with Joy Karley,Joy Karley,Studio 4, 1 hour & 30 minutes
31,   1:00 pm  EDT,/ASP/res_a.asp?tg=22&classId=16854&classDate=3/13/2023&clsLoc=1,IN-PERSON: Beg JAZZ with Sheila Barker,Sheila Barker,Studio 1, 1 hour & 30 minutes
32,   1:15 pm  EDT,/ASP/res_a.asp?tg=22&classId=16858&classDate=3/13/2023&clsLoc=1,IN-PERSON: Adv Beg THEATER with Lizz Picini,Amanda LaMotte (1),Studio 5, 1 hour & 30 minutes
33,   1:15 pm  EDT,/ASP/res_a.asp?tg=48&classId=16859&classDate=3/13/2023&clsLoc=1,LIVESTREAM: Adv Beg THEATER with Lizz Picini,Amanda LaMotte (2),LS ST-5, 1 hour & 30 minutes
34,   2:45 pm  EDT,/ASP/res_a.asp?tg=22&classId=16868&classDate=3/13/2023&clsLoc=1,IN-PERSON: Beg TAP with Tony Mayes,Rashaan James (4),Studio B, 1 hour & 30 minutes
35,   2:45 pm  EDT,/ASP/res_a.asp?tg=48&classId=16865&classDate=3/13/2023&clsLoc=1,LIVESTREAM: Basic BALLET with Deanna Doyle,Cara Leggio (5),LS ST-1, 1 hour & 30 minutes
36,   3:00 pm  EDT,/ASP/res_a.asp?tg=22&classId=16866&classDate=3/13/2023&clsLoc=1,IN-PERSON: Adv STREET STYLES with Jay Mills,Jason Boogie Santana (6),Studio 5, 1 hour & 30 minutes
37,   4:30 pm  EDT,/ASP/res_a.asp?tg=22&classId=17083&classDate=3/13/2023&clsLoc=1,IN-PERSON: Beg BALLET with Dorit Koppel,Dorit Koppel,Studio 1, 1 hour & 30 minutes
38,   4:30 pm  EDT,/ASP/res_a.asp?tg=22&classId=17089&classDate=3/13/2023&clsLoc=1,IN-PERSON: Int TAP with Ray Hesselink,Rashaan James (7),Studio B, 1 hour & 30 minutes
39,   4:45 pm  EDT,/ASP/res_a.asp?tg=22&classId=17247&classDate=3/13/2023&clsLoc=1,IN-PERSON: Int Adv HIP-HOP with David Thomas,David Thomas,Studio 3, 1 hour & 30 minutes
40,   6:15 pm  EDT,/ASP/res_a.asp?tg=22&classId=17196&classDate=3/13/2023&clsLoc=1,IN-PERSON: Adv Beg BALLET with Matthew Prescott,Luis Villar (8),Studio A, 1 hour & 30 minutes
41,   6:15 pm  EDT,/ASP/res_a.asp?tg=22&classId=17143&classDate=3/13/2023&clsLoc=1,IN-PERSON: Adv Beg THEATER with Elyn Collier,Elyn Collier,Studio 4, 1 hour & 30 minutes
42,   6:30 pm  EDT,/ASP/res_a.asp?tg=22&classId=17096&classDate=3/13/2023&clsLoc=1,IN-PERSON: Adv Beg STREET JAZZ with Keenan Cooks,Keenan Cooks,Studio 5, 1 hour & 30 minutes
43,   6:30 pm  EDT,/ASP/res_a.asp?tg=22&classId=17095&classDate=3/13/2023&clsLoc=1,IN-PERSON: Beg COMMERCIAL JAZZ with Debbie Wilson,Debbie Wilson,Studio 3, 1 hour & 30 minutes
44,   8:00 pm  EDT,/ASP/res_a.asp?tg=22&classId=17098&classDate=3/13/2023&clsLoc=1,IN-PERSON: All Levels BURLESQUE JAZZ with Tony Guerrero,Tony Guerrero,Studio A, 1 hour & 30 minutes
45,   8:00 pm  EDT,/ASP/res_a.asp?tg=22&classId=17099&classDate=3/13/2023&clsLoc=1,IN-PERSON: Beg HEELS with Courtney Sauls,Courtney Sauls,Studio 3, 1 hour & 30 minutes
46,   8:00 pm  EDT,/ASP/res_a.asp?tg=22&classId=17100&classDate=3/13/2023&clsLoc=1,IN-PERSON: Int Adv STREET JAZZ with Kenichi Kasamatsu,Kenichi Kasamatsu,Studio 5, 1 hour & 30 minutes
