Studio,Start time,Sign up,Sessions,Teacher,Studio,Duration
Gibney,10:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12845&classDate=11/29/2023&clsLoc=1,Bartenieff Fundamentals at 280,Allegra Romita,Gibney 280: Studio V,1 hour &30 minutes
Gibney,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12907&classDate=11/29/2023&clsLoc=1,Simonson Jazz with Teresa Perez Ceccon at 280,Teresa Perez Ceccon,Gibney 280: Studio C,1 hour &45 minutes
Gibney,2:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=12992&classDate=11/29/2023&clsLoc=1,Alexander Technique: Movement Research at 280,Sarah White-Ayón,Gibney 280: Studio B,1 hour &45 minutes
Gibney,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12840&classDate=11/29/2023&clsLoc=1,Adult Open Contemporary with Leah Wilks at 280,Leah Wilks,Gibney 280: Studio E,1 hour &45 minutes
Gibney,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12582&classDate=11/29/2023&clsLoc=1,Intermediate/Advanced Contemporary/Simonson with Laurie DeVito at 280,Laurie DeVito,Gibney 280: Studio C,2 hours
Gibney,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12880&classDate=11/30/2023&clsLoc=1,Contemporary Release with Wesley Ensminger at 280,Wesley Ensminger,Gibney 280: Studio W,1 hour &45 minutes
Gibney,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=54&classId=12810&classDate=11/30/2023&clsLoc=1,Super Chill Ballet with Doron Perk at 890,Doron Perk,Gibney 890: Studio 5-2,1 hour &45 minutes
Gibney,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12850&classDate=11/30/2023&clsLoc=1,Contemporary Forms with Nicole von Arx at 280,Nicole von Arx,Gibney 280: Studio W,1 hour &45 minutes
Gibney,12:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12847&classDate=11/30/2023&clsLoc=1,Zena Rommett Floor-Barre® at 280,Jodi Moccia,Gibney 280: Studio D,1 hour &30 minutes
Gibney,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12920&classDate=11/30/2023&clsLoc=1,Modernish Technique with Brad Beakes at 280,Bradley Beakes,Gibney 280: Studio C,1 hour &45 minutes
Gibney,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=54&classId=12894&classDate=12/1/2023&clsLoc=1,Ballet with Nina Goldman at 890,Nina Goldman,Gibney 890: Studio 5-2,1 hour &45 minutes
Gibney,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12676&classDate=12/1/2023&clsLoc=1,Gaga/people at 280,Rotating Gaga Teachers,Gibney 280: Studio C,1 hour
Gibney,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12849&classDate=12/1/2023&clsLoc=1,Contemporary/Modern with Oliver Steele at 280,Oliver Steele,Gibney 280: Studio C,1 hour &45 minutes
Gibney,10:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12677&classDate=12/2/2023&clsLoc=1,Gaga/people at 280,Rotating Gaga Teachers,Gibney 280: Studio C,1 hour
Gibney,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12949&classDate=12/2/2023&clsLoc=1,Countertechnique with Maggie Costales at 280,Maggie Costales,Gibney 280: Studio E,1 hour &45 minutes
Gibney,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=54&classId=12650&classDate=12/2/2023&clsLoc=1,Pointe with Kat Wildish at 890,Kat Wildish,Gibney 890: Studio 5-2,1 hour
Gibney,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12838&classDate=12/3/2023&clsLoc=1,Adult Open Contemporary with Leah Wilks at 280,Leah Wilks,Gibney 280: Studio U,1 hour &45 minutes
Gibney,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=13018&classDate=12/3/2023&clsLoc=1,Contemporary with Maleek Washington at 280,Maleek Washington,Gibney 280: Studio U,1 hour &45 minutes
Gibney,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12903&classDate=11/27/2023&clsLoc=1,Contemporary with Brandon Coleman at 280,Brandon Coleman,Gibney 280: Studio X,1 hour &45 minutes
Gibney,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12910&classDate=11/27/2023&clsLoc=1,Embodiment through Dance Movement Therapy at 280,Giulia Carotenuto,Gibney 280: Studio D,1 hour &45 minutes
Gibney,2:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12843&classDate=11/27/2023&clsLoc=1,Physical Theater: Storytelling for Dancers at 280,Kelly Ashton Todd,Gibney 280: Studio C,1 hour &45 minutes
Gibney,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=54&classId=12927&classDate=11/27/2023&clsLoc=1,Beginner Ballez with MJ Markovitz at 890,MJ Markovitz,Gibney 890: Studio 5-2,1 hour &30 minutes
Gibney,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12985&classDate=11/28/2023&clsLoc=1,Contemporary Playground with Shane Larson at 280,Shane Larson,Gibney 280: Studio X,1 hour &45 minutes
Gibney,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12942&classDate=11/28/2023&clsLoc=1,Contemporary: Dynamic Sequencing with Adam Barruch at 280,Adam Barruch,Gibney 280: Studio C,1 hour &45 minutes
Gibney,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12877&classDate=11/28/2023&clsLoc=1,Contemporary Release with Wesley Ensminger at 280,Wesley Ensminger,Gibney 280: Studio E,1 hour &45 minutes
Gibney,6:45 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12791&classDate=11/28/2023&clsLoc=1,Gaga/dancers at 280,Doron Perk,Gibney 280: Studio C,1 hour &15 minutes
Gibney,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=54&classId=12879&classDate=11/29/2023&clsLoc=1,Pro Ballez with Katy Pyle at 890,Katy Pyle,Gibney 890: Studio 5-2,1 hour &45 minutes
Gibney,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12956&classDate=11/29/2023&clsLoc=1,Imaginative Maintenance for Contemporary Movement with Mikey Morado at 280,Mikey Morado,Gibney 280: Studio V,1 hour &45 minutes
Gibney,12:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=12990&classDate=11/29/2023&clsLoc=1,Feldenkrais®: Movement Research at 280,Tasha Taylor,Gibney 280: Studio B,1 hour &30 minutes
Gibney,2:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12991&classDate=11/29/2023&clsLoc=1,Contemporary Floorwork with Dual Rivet at 280,Dual Rivet,Gibney 280: Studio C,1 hour &45 minutes
Gibney,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=54&classId=12583&classDate=11/29/2023&clsLoc=1,Absolute Beginner Ballet with Kat Wildish at 890,Kat Wildish,Gibney 890: Studio 5-2,1 hour
Gibney,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=13002&classDate=11/30/2023&clsLoc=1,Contemporary with Baye & Asa at 280,Baye & Asa,Gibney 280: Studio C,1 hour &45 minutes
Gibney,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12995&classDate=11/30/2023&clsLoc=1,Ballet with Kevin Jay Shannon at 280,Kevin J. Shannon,Gibney 280: Studio C,1 hour &45 minutes
Gibney,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12881&classDate=11/30/2023&clsLoc=1,Countertechnique with Francesca Dominguez at 280,Francesca Dominguez,Gibney 280: Studio X,1 hour &45 minutes
Gibney,2:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=12977&classDate=11/30/2023&clsLoc=1,Pilates Mat Class for Dancers: Movement Research at 280,Kayla White,Gibney 280: Studio D,1 hour &15 minutes
Gibney,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=54&classId=12569&classDate=11/30/2023&clsLoc=1,Intermediate/Advanced Beginner Ballet with Kat Wildish at 890,Kat Wildish,Gibney 890: Studio 5-2,1 hour
Gibney,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12883&classDate=12/1/2023&clsLoc=1,Contemporary with Thryn Saxon/SAXYN Dance Works at 280,Thryn Saxon,Gibney 280: Studio X,1 hour &45 minutes
Gibney,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=12612&classDate=12/1/2023&clsLoc=1,Klein Technique Dance/Movement Class at 280,Barbara Mahler,Gibney 280: Studio B,2 hours
Gibney,2:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12925&classDate=12/1/2023&clsLoc=1,MELT Method at 280,Claudia Brown,Gibney 280: Studio G,1 hour &30 minutes
Gibney,10:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=54&classId=12570&classDate=12/2/2023&clsLoc=1,Intermediate/Advanced Beginner Ballet with Kat Wildish at 890,Kat Wildish,Gibney 890: Studio 5-2,1 hour &30 minutes
Gibney,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12912&classDate=12/2/2023&clsLoc=1,Embodiment through Dance Movement Therapy at 280,Giulia Carotenuto,Gibney 280: Studio D,1 hour &45 minutes
Gibney,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12970&classDate=12/3/2023&clsLoc=1,Floorwork Basics with Dava Huesca at 280,Dava Huesca,Gibney 280: Studio C,1 hour &45 minutes
Gibney,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12835&classDate=12/3/2023&clsLoc=1,Contemporary/Simonson with Diane McCarthy at 280,Diane McCarthy,Gibney 280: Studio C,2 hours
