Studio,Start time,Sign up,Classes,Teacher,Pianist,Room,Duration
Ballet Academy East,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7943&classDate=11/28/2023&clsLoc=1,IN-STUDIO Basic Beginner Ballet,Ashley Talluto,none,Studio 2,1 hour &30 minutes
Ballet Academy East,9:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7974&classDate=11/29/2023&clsLoc=1,IN-STUDIO Advanced Beginner Ballet,Julia Dubno,none,Studio 6,1 hour &30 minutes
Ballet Academy East,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7944&classDate=11/29/2023&clsLoc=1,IN-STUDIO Basic Beginner Ballet,Shirley Bassat,none,Studio 5,1 hour &30 minutes
Ballet Academy East,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=8029&classDate=11/29/2023&clsLoc=1,IN-STUDIO Intermediate Ballet,Stephanie Godino,none,Studio 2,1 hour &30 minutes
Ballet Academy East,7:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7963&classDate=11/29/2023&clsLoc=1,IN-STUDIO Beginner Contemporary,Ashley Carter,none,Studio 1,1 hour &30 minutes
Ballet Academy East,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7959&classDate=11/29/2023&clsLoc=1,IN-STUDIO Beginner Ballet,William Waldinger,none,Studio 2,1 hour &30 minutes
Ballet Academy East,9:15 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7977&classDate=11/30/2023&clsLoc=1,IN-STUDIO Advanced Beginner Ballet,Shirley Bassat,none,Studio 6,1 hour &30 minutes
Ballet Academy East,11:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7919&classDate=11/30/2023&clsLoc=1,IN-STUDIO Floor Barre,Hope Ruth,none,Studio 2,1 hour
Ballet Academy East,11:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7996&classDate=11/30/2023&clsLoc=1,IN-STUDIO Intermediate Ballet,Shirley Bassat,none,Studio 6,1 hour &30 minutes
Ballet Academy East,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7960&classDate=11/30/2023&clsLoc=1,IN-STUDIO Beginner Ballet,Julie Voshell (2),none,Studio 2,1 hour &30 minutes
Ballet Academy East,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7997&classDate=11/30/2023&clsLoc=1,IN-STUDIO Intermediate Ballet,Ginger Thatcher,none,Studio 3,1 hour &30 minutes
Ballet Academy East,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7947&classDate=11/30/2023&clsLoc=1,IN-STUDIO Basic Beginner Ballet,Julie Voshell (4),none,Studio 4,1 hour &30 minutes
Ballet Academy East,9:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7980&classDate=12/1/2023&clsLoc=1,IN-STUDIO Advanced Beginner Ballet,Shirley Bassat,none,Studio 6,1 hour &30 minutes
Ballet Academy East,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7906&classDate=12/1/2023&clsLoc=1,IN-STUDIO Mat Pilates Class,Ashley Carter,none,Studio 2,1 hour
Ballet Academy East,11:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7998&classDate=12/1/2023&clsLoc=1,IN-STUDIO Intermediate Ballet,Elizabeth Walker,none,Studio 4,1 hour &30 minutes
Ballet Academy East,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7981&classDate=12/1/2023&clsLoc=1,IN-STUDIO Advanced Beginner Ballet,Julie Voshell,none,Studio 4,1 hour &30 minutes
Ballet Academy East,7:45 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7935&classDate=12/1/2023&clsLoc=1,IN-STUDIO Introduction to Ballet,Ginger Thatcher (6),none,Studio 6,1 hour &30 minutes
Ballet Academy East,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7907&classDate=12/2/2023&clsLoc=1,IN-STUDIO Mat Pilates Class,Courtney Conner,none,Studio 4,1 hour
Ballet Academy East,11:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7961&classDate=12/2/2023&clsLoc=1,IN-STUDIO Beginner Ballet,Stephanie Rae Williams,none,Studio 4,1 hour &30 minutes
Ballet Academy East,2:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=8000&classDate=12/2/2023&clsLoc=1,IN-STUDIO Intermediate Ballet,Ginger Thatcher (8),none,Studio 4,1 hour &30 minutes
Ballet Academy East,4:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7921&classDate=12/2/2023&clsLoc=1,IN-STUDIO Pointe Class,Julie Voshell,none,Studio 5,1 hour
Ballet Academy East,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7983&classDate=12/3/2023&clsLoc=1,IN-STUDIO Advanced Beginner Ballet,Ginger Thatcher,none,Studio 6,1 hour &30 minutes
Ballet Academy East,11:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7908&classDate=12/3/2023&clsLoc=1,IN-STUDIO Mat Pilates Class,Courtney Conner,none,Studio 2,1 hour
Ballet Academy East,11:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=8001&classDate=12/3/2023&clsLoc=1,IN-STUDIO Intermediate Ballet,Ginger Thatcher,none,Studio 6,1 hour &30 minutes
Ballet Academy East,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7937&classDate=12/3/2023&clsLoc=1,IN-STUDIO Introduction to Ballet,Lorna Zawacki,none,Studio 2,1 hour &30 minutes
Ballet Academy East,1:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7951&classDate=12/3/2023&clsLoc=1,IN-STUDIO Basic Beginner Ballet,Ashley Talluto (10),none,Studio 6,1 hour &30 minutes
Ballet Academy East,1:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7962&classDate=12/3/2023&clsLoc=1,IN-STUDIO Beginner Ballet,Lorna Zawacki,none,Studio 2,1 hour &30 minutes
Ballet Academy East,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7926&classDate=11/27/2023&clsLoc=1,IN-STUDIO Introduction to Ballet,William Waldinger,none,Studio 5,1 hour &30 minutes
Ballet Academy East,11:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7904&classDate=11/27/2023&clsLoc=1,IN-STUDIO Mat Pilates Class,Vanessa Martínez de Baños,none,Studio 2,1 hour
Ballet Academy East,11:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7970&classDate=11/27/2023&clsLoc=1,IN-STUDIO Advanced Beginner Ballet,Julie Voshell,none,Studio 5,1 hour &30 minutes
Ballet Academy East,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7990&classDate=11/27/2023&clsLoc=1,IN-STUDIO Intermediate Ballet,Justin Sherwood,none,Studio 2,1 hour &30 minutes
Ballet Academy East,6:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7940&classDate=11/27/2023&clsLoc=1,IN-STUDIO Basic Beginner Ballet,Julie Voshell,none,Studio 5,1 hour &30 minutes
Ballet Academy East,7:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7927&classDate=11/27/2023&clsLoc=1,IN-STUDIO Introduction to Ballet,Estelle Botella,none,Studio 2,1 hour &30 minutes
Ballet Academy East,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7971&classDate=11/27/2023&clsLoc=1,IN-STUDIO Advanced Beginner Ballet,Maximilien Baud,none,Studio 4,1 hour &30 minutes
Ballet Academy East,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7955&classDate=11/27/2023&clsLoc=1,IN-STUDIO Beginner Ballet,Ginger Thatcher,none,Studio 3,1 hour &30 minutes
Ballet Academy East,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7942&classDate=11/28/2023&clsLoc=1,IN-STUDIO Basic Beginner Ballet,Selina Chau,none,Studio 2,1 hour &30 minutes
Ballet Academy East,11:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7928&classDate=11/28/2023&clsLoc=1,IN-STUDIO Introduction to Ballet,Julie Voshell,none,Studio 4,1 hour &30 minutes
Ballet Academy East,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7973&classDate=11/28/2023&clsLoc=1,IN-STUDIO Advanced Beginner Ballet,Sean Kelly,none,Studio 4,1 hour &30 minutes
Ballet Academy East,7:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7929&classDate=11/28/2023&clsLoc=1,IN-STUDIO Introduction to Ballet,Hope Ruth,none,Studio 3,1 hour &30 minutes
Ballet Academy East,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7957&classDate=11/28/2023&clsLoc=1,IN-STUDIO Beginner Ballet,Sean Kelly,none,Studio 4,1 hour &30 minutes
Ballet Academy East,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7958&classDate=11/29/2023&clsLoc=1,IN-STUDIO Beginner Ballet,Julie Voshell,none,Studio 2,1 hour &30 minutes
Ballet Academy East,10:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7930&classDate=11/29/2023&clsLoc=1,IN-STUDIO Introduction to Ballet,Shirley Bassat,none,Studio 6,1 hour &30 minutes
Ballet Academy East,11:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7975&classDate=11/29/2023&clsLoc=1,IN-STUDIO Advanced Beginner Ballet,Julie Voshell,none,Studio 2,1 hour &30 minutes
Ballet Academy East,11:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7915&classDate=11/29/2023&clsLoc=1,IN-STUDIO Gentle Pilates,Wendy Amos,none,Studio 4,1 hour
Ballet Academy East,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7994&classDate=11/29/2023&clsLoc=1,IN-STUDIO Intermediate Ballet,Justin Sherwood,none,Studio 6,1 hour &30 minutes
Ballet Academy East,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=8028&classDate=11/29/2023&clsLoc=1,IN-STUDIO Advanced Beginner Ballet,Selina Chau,none,none,1 hour &30 minutes
Ballet Academy East,7:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7945&classDate=11/29/2023&clsLoc=1,IN-STUDIO Basic Beginner Ballet,Estelle Botella,none,Studio 4,1 hour &30 minutes
Ballet Academy East,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=8030&classDate=11/29/2023&clsLoc=1,IN-STUDIO Introduction to Ballet,Stephanie Godino,none,Studio 3,1 hour &30 minutes
Ballet Academy East,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7932&classDate=11/30/2023&clsLoc=1,IN-STUDIO Introduction to Ballet,Marsha Knight,none,Studio 4,1 hour &30 minutes
Ballet Academy East,11:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7946&classDate=11/30/2023&clsLoc=1,IN-STUDIO Basic Beginner Ballet,Marsha Knight,none,Studio 4,1 hour &30 minutes
Ballet Academy East,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7978&classDate=11/30/2023&clsLoc=1,IN-STUDIO Advanced Beginner Ballet,Lorna Zawacki,none,Studio 5,1 hour &30 minutes
Ballet Academy East,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7979&classDate=11/30/2023&clsLoc=1,IN-STUDIO Advanced Beginner Ballet,Stephanie Chun,none,Studio 1,1 hour &30 minutes
Ballet Academy East,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7933&classDate=11/30/2023&clsLoc=1,IN-STUDIO Introduction to Ballet,Lorna Zawacki,none,Studio 5,1 hour &30 minutes
Ballet Academy East,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7934&classDate=12/1/2023&clsLoc=1,IN-STUDIO Introduction to Ballet,Marsha Knight,none,Studio 4,1 hour &30 minutes
Ballet Academy East,11:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7948&classDate=12/1/2023&clsLoc=1,IN-STUDIO Basic Beginner Ballet,Shirley Bassat,none,Studio 6,1 hour &30 minutes
Ballet Academy East,6:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7999&classDate=12/1/2023&clsLoc=1,IN-STUDIO Intermediate Ballet,Ginger Thatcher (5),none,Studio 3,1 hour &30 minutes
Ballet Academy East,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7949&classDate=12/1/2023&clsLoc=1,IN-STUDIO Basic Beginner Ballet,Hope Ruth,none,Studio 2,1 hour &30 minutes
Ballet Academy East,12:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7936&classDate=12/2/2023&clsLoc=1,IN-STUDIO Introduction to Ballet,Julie Voshell,none,Studio 4,1 hour &30 minutes
Ballet Academy East,2:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7982&classDate=12/2/2023&clsLoc=1,IN-STUDIO Advanced Beginner Ballet,Julie Voshell,none,Studio 5,1 hour &30 minutes
Ballet Academy East,3:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7950&classDate=12/2/2023&clsLoc=1,IN-STUDIO Basic Beginner Ballet,Ginger Thatcher (9),none,Studio 4,1 hour &30 minutes
Ballet Academy East,1:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7922&classDate=12/3/2023&clsLoc=1,IN-STUDIO Pointe Class,Ginger Thatcher,none,Studio 5,1 hour
Ballet Academy East,2:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=8002&classDate=12/3/2023&clsLoc=1,IN-STUDIO Intermediate Ballet,Ashley Talluto (12),none,Studio 6,1 hour &30 minutes
