Studio,Time,Classes,Instructor,Sign up,Date,Style
BDC,13:30:00,Int Ballet,Benjamin Briones,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18259&classDate=9/24/2023&clsLoc=1,2023-09-24,Ballet
Ailey,14:00:00,Beg Hip-Hop,TweetBoogie,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824601&classDate=9/24/2023&clsLoc=1,2023-09-24,Street/Choreography
Steps,14:00:00,Adv/Beg Theater Jazz,Biagini,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087056&classDate=9/24/2023&clsLoc=1,2023-09-24,Theater
Hive Dance NJ,14:00:00,Beg Hip-Hop Adults 17+,Dino Principe,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=2230&classDate=9/24/2023&clsLoc=1,2023-09-24,Street/Choreography
Ballet Arts,14:00:00,Pointe Class 1 Hour,Noriko Hara,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=29&classId=2328&classDate=9/24/2023&clsLoc=1,2023-09-24,Ballet
Ailey,14:00:00,Beg Contemp,Olivier Medus (1),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824594&classDate=9/24/2023&clsLoc=1,2023-09-24,Contemporary/Modern
SassClass,14:20:00,Reggaeton,Jahaira,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=715&classDate=9/24/2023&clsLoc=1,2023-09-24,World
PMT,14:30:00,Basic Jazz,Camryn Graves,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3492&classDate=9/24/2023&clsLoc=1,2023-09-24,Jazz
Steps,14:30:00,Basic Swing Dance,McDaniel,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087276&classDate=9/24/2023&clsLoc=1,2023-09-24,Additional Disciplines
Steps,14:30:00,Int Ballet,Gelinas,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087049&classDate=9/24/2023&clsLoc=1,2023-09-24,Ballet
